datetime,hs,direction,tz,tp,temperature,h_onethird,hmax,tav
2020-11-10 03:15:00+00,0.38,82,2.5,2.2,25.45,0.3,0.49,2.6
2020-11-10 03:45:00+00,0.4,87,2.6,2.3,25.45,0.34,0.59,2.8
2020-11-10 04:15:00+00,0.4,83,2.5,2.3,25.5,0.32,0.5,2.8
2020-11-10 04:45:00+00,0.39,89,2.6,2.2,25.45,0.32,0.6,2.7
2020-11-10 05:15:00+00,0.4,86,2.6,2.3,25.4,0.32,0.66,2.8
2020-11-10 05:45:00+00,0.38,83,2.5,2.2,25.35,0.31,0.58,2.6
2020-11-10 06:15:00+00,0.37,90,2.4,2,25.3,0.3,0.6,2.6
2020-11-10 06:45:00+00,0.35,283,2.6,6.7,25.3,0.29,0.51,2.8
2020-11-10 07:15:00+00,0.35,87,2.6,2.1,25.25,0.28,0.64,2.7
2020-11-10 07:45:00+00,0.33,345,2.6,5.3,25.25,0.28,0.47,2.9
2020-11-10 08:15:00+00,0.33,295,2.6,6.2,25.15,0.28,0.52,2.8
2020-11-10 08:45:00+00,0.38,190,2.7,2.8,25.35,0.32,0.59,3
2020-11-10 09:15:00+00,0.36,323,2.9,5.9,25.35,0.31,0.5,3.2
2020-11-10 09:45:00+00,0.37,298,2.9,6.2,25.4,0.31,0.68,3.1
2020-11-10 10:15:00+00,0.41,191,2.8,2.8,25.35,0.35,0.64,2.9
2020-11-10 10:45:00+00,0.47,195,2.8,2.9,25.3,0.4,0.66,3
2020-11-10 11:15:00+00,0.48,183,2.8,2.9,25.45,0.4,0.7,2.9
2020-11-10 11:45:00+00,0.58,187,2.8,3,25.5,0.49,1.02,2.9
2020-11-10 12:15:00+00,0.58,187,2.9,3.2,25.55,0.49,0.91,3
2020-11-10 12:45:00+00,0.56,184,2.9,2.9,25.55,0.47,0.78,3
2020-11-10 13:15:00+00,0.54,201,2.9,3.5,25.55,0.45,0.89,3
2020-11-10 13:45:00+00,0.53,207,3,3.9,25.5,0.46,0.8,3.1
2020-11-10 14:15:00+00,0.52,208,3,3.9,25.5,0.44,0.81,3.2
2020-11-10 14:45:00+00,0.5,207,3.1,3.7,25.65,0.43,0.67,3.3
2020-11-10 15:15:00+00,0.45,221,3.1,3.6,25.7,0.39,0.79,3.2
2020-11-10 15:45:00+00,0.43,226,3.1,3.5,25.75,0.38,0.72,3.3
2020-11-10 16:15:00+00,0.42,217,3.1,3.6,25.7,0.37,0.58,3.4
2020-11-10 16:45:00+00,0.4,212,3.1,3.7,25.75,0.35,0.66,3.4
2020-11-10 17:15:00+00,0.4,212,3.3,3.7,25.75,0.35,0.51,3.6
2020-11-10 17:45:00+00,0.4,218,3.4,4.5,25.75,0.35,0.64,3.5
2020-11-10 18:15:00+00,0.41,204,3.4,4.2,25.75,0.35,0.69,3.6
2020-11-10 18:45:00+00,0.43,205,3.3,4,25.75,0.37,0.63,3.4
2020-11-10 19:15:00+00,0.48,218,3.6,4.3,25.75,0.44,0.8,3.7
2020-11-10 19:45:00+00,0.46,218,3.5,4,25.75,0.41,0.65,3.7
2020-11-10 20:15:00+00,0.45,217,3.5,4,25.75,0.4,0.67,3.7
2020-11-10 20:45:00+00,0.44,217,3.3,4.2,25.7,0.39,0.72,3.5
2020-11-10 21:15:00+00,0.47,221,3.4,4.2,25.7,0.41,0.75,3.6
2020-11-10 21:45:00+00,0.45,217,3.2,4.2,25.7,0.39,0.71,3.4
2020-11-10 22:15:00+00,0.42,221,3.2,4.2,25.7,0.37,0.67,3.4
2020-11-10 22:45:00+00,0.41,222,3.1,4,25.65,0.35,0.61,3.3
2020-11-10 23:15:00+00,0.39,224,3.2,4.2,25.7,0.33,0.62,3.4
2020-11-10 23:45:00+00,0.38,228,3.2,4,25.65,0.34,0.64,3.4
2020-11-11 00:15:00+00,0.37,222,3.2,4,25.65,0.33,0.61,3.4
2020-11-11 00:45:00+00,0.37,224,3.2,3.9,25.65,0.32,0.65,3.3
2020-11-11 01:15:00+00,0.36,232,3.2,3.7,25.65,0.31,0.56,3.4
2020-11-11 01:45:00+00,0.37,224,3.3,4,25.65,0.33,0.6,3.4
2020-11-11 02:15:00+00,0.41,218,3.4,4,25.6,0.36,0.54,3.5
2020-11-11 02:45:00+00,0.4,219,3.3,4.3,25.6,0.34,0.65,3.4
2020-11-11 03:15:00+00,0.43,231,3.2,3.9,25.6,0.38,0.72,3.4
2020-11-11 03:45:00+00,0.4,228,3.1,4,25.55,0.35,0.59,3.3
